"PlotID","Year","BA_total","N_total"
49628170910,0,19.7237442819147,338.795143037672
49628170910,1,19.6491610625625,321.451875091803
49628170910,2,19.5745888740857,306.163055310695
49628170910,3,19.4702817515946,292.027110139487
49628170910,4,19.394886459082,280.072335648954
49628170910,5,19.3293564799331,269.959777455689
49628170910,6,19.3228366300521,265.043950286289
49628170910,7,19.4558814843399,272.701751387314
49628170910,8,19.4388202912989,273.784914183675
49628170910,9,19.4247735641969,275.366262046008
49628170910,10,19.4215052096904,277.062459266018
49628170910,11,19.2680474776143,277.45599997155
49628170910,12,19.0980230160459,277.661489058342
49628170910,13,18.8698187433746,278.104003385681
49628170910,14,18.6568558517761,278.749632179095
49628170910,15,18.4537365719287,279.566452986675
49628170910,16,18.2398541746659,280.008108608117
49628170910,17,18.003783495159,280.071811360692
49628170910,18,17.7526218356408,279.325675931956
49628170910,19,17.6127801966469,279.399978099642
49628170910,20,17.4724692591078,279.474743553841
49628170910,21,17.3450012742392,280.056576618935
49628170910,22,17.2204010257829,280.628633479965
49628170910,23,17.0797297097411,280.895849526406
49628170910,24,16.9437939417346,280.600493617243
49628170910,25,16.8137560476462,280.322306962558
49628170910,26,16.6852079807536,279.895553067455
49628170910,27,16.5589358549479,279.471946101541
49628170910,28,16.4363956760741,279.023568186331
49628170910,29,16.3179516148208,278.628921357712
49628170910,30,16.2101172585406,278.4405985825
49628170910,31,16.1069430146763,278.022646990949
49628170910,32,16.0099733824556,277.783470576781
49628170910,33,15.9306631413068,278.840515010874
49628170910,34,15.8778400636398,281.506250322311
49628170910,35,15.8155926966492,282.977881339666
49628170910,36,15.7522564987551,284.296549214954
49628170910,37,15.6907570780497,285.611775962904
49628170910,38,15.630590226074,286.890467666873
49628170910,39,15.5456202740358,285.977295867428
49628170910,40,15.4672406539874,285.309804743241
49628170910,41,15.404142618772,284.919689494614
49628170910,42,15.339643684765,284.426431617271
49628170910,43,15.2809069565149,284.146972406257
49628170910,44,15.2296222611342,284.106697505268
49628170910,45,15.1949863990425,284.748485345503
49628170910,46,15.1705949792843,285.50562076953
49628170910,47,15.1489408552054,286.366194470205
49628170910,48,15.1292325149777,287.262732177939
49628170910,49,15.1305097271722,288.547832163283
49628170910,50,15.1331248392957,289.846176767857
