"PlotID","DGP","Year","BA_total","N_total"
49628370910,1,0,1.15493054283935,94.1122072681924
49628370910,1,1,0.92444405938144,75.3304789311968
49628370910,1,2,0.742261555648811,60.4849129720771
49628370910,1,3,0.611568886672777,49.8351162138519
49628370910,1,4,0.49904225468074,40.6656213218121
49628370910,1,5,0.411469187039515,33.5295257842394
49628370910,1,6,0.381152239101151,31.059078616828
49628370910,1,7,0.360232730907962,29.3544037311973
49628370910,1,8,0.347222376105596,28.2942246447713
49628370910,1,9,0.338956423771268,27.6206542520056
49628370910,1,10,0.389172554168484,31.7126326843456
49628370910,1,11,0.435362358295305,35.4765165357274
49628370910,1,12,0.509780010609714,41.5406123919231
49628370910,1,13,0.575074663882881,46.8612994067818
49628370910,1,14,0.632964952786273,51.5786245324101
49628370910,1,15,0.683925291493958,55.7312465135764
49628370910,2,0,0.123956668440355,5.15351941524524
49628370910,2,1,0.195571108113744,8.13090183373371
49628370910,2,2,0.234296064698819,9.74089844082825
49628370910,2,3,0.251214279589565,10.4442760808356
49628370910,2,4,0.254597993876664,10.5849545735187
49628370910,2,5,0.248399736916658,10.3272609940931
49628370910,2,6,0.237057061855186,9.85568736368171
49628370910,2,7,0.22649733764297,9.41666504699629
49628370910,2,8,0.218249783858338,9.0737716061498
49628370910,2,9,0.211915759391505,8.81043346970928
49628370910,2,10,0.208070595760514,8.65057014265765
49628370910,2,11,0.212661110107672,8.84142155155482
49628370910,2,12,0.224156806223032,9.31935705811269
49628370910,2,13,0.243941760432993,10.141919869244
49628370910,2,14,0.269845992597589,11.2188926943204
49628370910,2,15,0.300151988672313,12.4788695970119
49628370910,3,0,2.05506752192381,51.6857923163316
49628370910,3,1,1.7942464517964,45.1260352677123
49628370910,3,2,1.57844184996144,39.6984608876214
49628370910,3,3,1.39794675370312,35.1589350765227
49628370910,3,4,1.24417790689283,31.2915854171214
49628370910,3,5,1.10746495692938,27.853198569302
49628370910,3,6,0.989379055808201,24.8832896511158
49628370910,3,7,0.88504391511912,22.2592180060621
49628370910,3,8,0.790958865088127,19.8929403513886
49628370910,3,9,0.705573862256241,17.7454724574058
49628370910,3,10,0.632112802635354,15.8978966330609
49628370910,3,11,0.567597102965523,14.2753002858829
49628370910,3,12,0.512197523977932,12.8819781184027
49628370910,3,13,0.464966659135185,11.6941024670482
49628370910,3,14,0.426197864509418,10.7190513575322
49628370910,3,15,0.395424948218104,9.94509987251643
49628370910,4,0,8.9111064455685,150.029396546674
49628370910,4,1,7.611958709656,128.156652456532
49628370910,4,2,6.5887549552237,110.929763432206
49628370910,4,3,5.73791695276888,96.6048630568148
49628370910,4,4,5.01523997000072,84.4377104944305
49628370910,4,5,4.38665155101948,73.854654198107
49628370910,4,6,3.85403728338492,64.8874403449832
49628370910,4,7,3.39292984649554,57.1241316108472
49628370910,4,8,2.98862603422782,50.3171815035224
49628370910,4,9,2.62730939964313,44.233973208331
49628370910,4,10,2.31867999687035,39.0378190228329
49628370910,4,11,2.04721499255242,34.4673730260157
49628370910,4,12,1.80904292233969,30.4574543715194
49628370910,4,13,1.59754362511836,26.8966045347472
49628370910,4,14,1.41237829938342,23.7791193772002
49628370910,4,15,1.2504249749001,21.0524367043607
49628370910,5,0,9.74982804289781,117.527731300216
49628370910,5,1,9.4689785575316,114.142276427915
49628370910,5,2,9.06258131715935,109.243426370512
49628370910,5,3,8.5979311310685,103.642375564364
49628370910,5,4,8.10389609645005,97.6871098359776
49628370910,5,5,7.58256644947646,91.4028256005257
49628370910,5,6,7.05767750467144,85.075636382821
49628370910,5,7,6.54044841101844,78.8407816067118
49628370910,5,8,6.02411983382253,72.616781961148
49628370910,5,9,5.50978139412239,66.4167721073862
49628370910,5,10,5.03499959505921,60.693591405017
49628370910,5,11,4.5870259139698,55.2935648415745
49628370910,5,12,4.16925759886761,50.2576439958893
49628370910,5,13,3.77186972885921,45.4673959419934
49628370910,5,14,3.40873742989164,41.0900761501248
49628370910,5,15,3.07508216343236,37.0680824974375
49628370910,6,0,2.02907412078588,18.3715371362369
49628370910,6,1,3.54127031935688,32.0631851321038
49628370910,6,2,4.66248550937672,42.214833260751
49628370910,6,3,5.52238653473498,50.0005043010671
49628370910,6,4,6.15962194408384,55.7701279276517
49628370910,6,5,6.61242056445086,59.8698335934495
49628370910,6,6,6.90513560620597,62.5201188663484
49628370910,6,7,7.06795716600313,63.9943293457739
49628370910,6,8,7.10863737984851,64.3626540174626
49628370910,6,9,7.03525380099507,63.6982282430242
49628370910,6,10,6.88723111171434,62.3580089256179
49628370910,6,11,6.67821933187041,60.4655853635715
49628370910,6,12,6.42409035198186,58.164664000675
49628370910,6,13,6.1256454179419,55.462499435729
49628370910,6,14,5.81114009317321,52.6149217182159
49628370910,6,15,5.49148185019182,49.7206887172241
49628370910,7,0,7.69152477774651,54.2181509001367
49628370910,7,1,7.22405042975298,50.9228881955573
49628370910,7,2,6.96358060574982,49.0868163332402
49628370910,7,3,6.89296041403064,48.5890091595177
49628370910,7,4,6.92316098043362,48.8018952794771
49628370910,7,5,7.0127722077998,49.4335717270058
49628370910,7,6,7.14644947628505,50.3758730943004
49628370910,7,7,7.29665087995695,51.4346543639463
49628370910,7,8,7.43253563344102,52.392516463116
49628370910,7,9,7.53207076935468,53.0941473067747
49628370910,7,10,7.61063711690462,53.6479675453131
49628370910,7,11,7.60996811471139,53.6432516972968
49628370910,7,12,7.57771492176274,53.4158964546328
49628370910,7,13,7.46395482520866,52.6139927671834
49628370910,7,14,7.32944139058429,51.6657972003355
