"PlotID","Year","BA_total","N_total"
49628370910,0,32.568698909306,495.913145815694
49628370910,1,32.387391117042,462.964293667015
49628370910,2,32.236509301903,434.69968690447
49628370910,3,32.1580241605759,411.508080982303
49628370910,4,32.0751194787575,390.261194867494
49628370910,5,31.9711243836319,371.040216707287
49628370910,6,31.9247466796989,357.166548953556
49628370910,7,31.8846080067629,344.697803162973
49628370910,8,31.7930678877111,332.964199841684
49628370910,9,31.6094800514854,321.30379647522
49628370910,10,31.4984069824226,315.311526009796
49628370910,11,31.2363853957019,308.897755581563
49628370910,12,31.0020814340051,305.523749332003
49628370910,13,30.5700212710286,300.996254452357
49628370910,14,30.1562309983688,296.795113781352
49628370910,15,29.754850352841,292.82392350313
